
i -2 -2 -2 2 2 2

i -2.001 -2.001 -2.001 2.001 2.001 2.001
i -0.743188 -0.946312 0.5615 0.743188 0.758812 0.852562

i -2.001 -2.001 -2.001 0.00100012 2.001 2.001
i -0.00100012 -2.001 -2.001 2.001 2.001 2.001
i -0.334334 -0.946312 0.5615 0.334334 -0.09275 0.829125
i -0.743188 -0.09475 0.59275 0.743188 0.758812 0.852562

i -2.001 -2.001 -2.001 0.00100012 2.001 2.001
i -1.04788 -0.985375 -0.852562 0.00100012 2 0.751
i -0.00100012 -0.985375 -0.852562 0.860375 2 0.751
i -0.00100012 -2.001 -2.001 2.001 2.001 2.001
i -0.266625 -0.946312 0.631812 0.266625 -0.288062 0.751
i -0.334334 -0.329125 0.5615 0.334334 -0.09275 0.829125
i -0.743188 -0.09475 0.59275 0.001 0.758812 0.852562
i -0.001 -0.09475 0.59275 0.743188 0.758812 0.852562

i -2.001 -2.001 -2.001 0.00200018 2.001 -0.249125
l -2.001 -2.001 -0.251125 0.00200017 2.001 2.001
i -1.04788 -0.196312 -0.704125 -0.334938 0.930688 0.6885
i -0.501 -0.985375 -0.852562 0.00100012 2 0.751
i -0.00100012 -0.571312 -0.852562 0.860375 2 0.501
i -0.001 -0.985375 0.147438 0.860375 0.899438 0.751
i -0.00200017 -2.001 -2.001 2.001 2.001 -0.124
i -0.00200017 -2.001 -0.126062 2.001 2.001 2.001
i -0.266625 -0.946312 0.631812 0.266625 -0.678688 0.735375
i -0.251 -0.704125 0.6865 0.251 -0.288062 0.751
i -0.334334 -0.3135 0.5615 0.334334 -0.09275 0.8135
i -0.165062 -0.329125 0.709938 0.165062 -0.09275 0.829125
i -0.626 -0.09475 0.616188 0.001 0.391625 0.829125
i -0.743188 0.241188 0.59275 0.001 0.758812 0.852562
i -0.001 -0.09475 0.616188 0.626 0.4385 0.829125
i -0.001 0.303688 0.59275 0.743188 0.758812 0.852562

l -2.001 -2.001 -2.001 0.00200017 2.001 -0.249125
i -1.36819 -0.102562 -0.547875 -0.952125 0.508812 -0.288062
i -1.04788 -0.196312 -0.704125 -0.334938 0.930688 -0.069312
i -0.860375 -0.196312 -0.211938 -0.334938 0.930688 0.6885
i -0.501 -0.461938 -0.852562 0.00100012 2 0.501
i -0.485375 -0.985375 0.147438 0.001 0.899438 0.751
i -0.00100012 -0.571312 -0.852562 0.501 2 0.501
i 0.334938 -0.196312 -0.704125 0.860375 0.930688 0.430688
i -0.001 -0.985375 0.256812 0.368188 -0.170875 0.711938
i -0.001 -0.28225 0.147438 0.860375 0.899438 0.751
l -0.00200017 -2.001 -2.001 2.001 2.001 -0.124
i 0.756812 -0.141625 -0.547875 1.36819 0.615668 -0.124
i 0.725562 -0.001 -0.126062 0.860375 0.618188 0.602562
l -0.00200017 -2.001 -0.126062 2.001 2.001 2.001
i -0.266625 -0.946312 0.631812 0.001 -0.678688 0.735375
i -0.001 -0.946312 0.631812 0.266625 -0.678688 0.735375
i -0.251 -0.704125 0.6865 0.251 -0.444312 0.751
i -0.211938 -0.446312 0.709938 0.211938 -0.288062 0.751
l -0.334334 -0.3135 0.5615 -0.084938 -0.09275 0.8135
l 0.084938 -0.3135 0.5615 0.334334 -0.09275 0.8135
i -0.165062 -0.329125 0.709938 0.001 -0.09275 0.829125
i -0.001 -0.329125 0.709938 0.165062 -0.09275 0.829125
i -0.626 -0.047875 0.616188 -0.350562 0.391625 0.829125
i -0.399438 -0.09475 0.634417 0.001 0.391625 0.829125
